Fase1
plataforma plataforma0.dat 
plataforma plataforma1.dat 
plataforma plataforma2.dat 
plataforma plataforma3.dat 
plataforma plataforma4.dat 
plataforma plataforma5.dat 
plataforma plataforma6.dat 
plataforma plataforma7.dat 
plataforma plataforma8.dat 
jogador1 jogador1.dat 
jogador2 jogador2.dat 
RoboAnda RoboAnda0.dat 
plataforma plataforma9.dat 
plataforma plataforma10.dat 
plataforma plataforma11.dat 
plataforma plataforma12.dat 
plataforma plataforma13.dat 
Esteira Esteira0.dat 
Esteira Esteira1.dat 
Esteira Esteira2.dat 
Esteira Esteira3.dat 
Esteira Esteira4.dat 
Esteira Esteira5.dat 
plataforma plataforma14.dat 
plataforma plataforma15.dat 
plataforma plataforma16.dat 
plataforma plataforma17.dat 
plataforma plataforma18.dat 
plataforma plataforma19.dat 
plataforma plataforma20.dat 
plataforma plataforma21.dat 
plataforma plataforma22.dat 
plataforma plataforma23.dat 
plataforma plataforma24.dat 
plataforma plataforma25.dat 
plataforma plataforma26.dat 
plataforma plataforma27.dat 
plataforma plataforma28.dat 
plataforma plataforma29.dat 
plataforma plataforma30.dat 
plataforma plataforma31.dat 
plataforma plataforma32.dat 
plataforma plataforma33.dat 
plataforma plataforma34.dat 
plataforma plataforma35.dat 
plataforma plataforma36.dat 
plataforma plataforma37.dat 
plataforma plataforma38.dat 
plataforma plataforma39.dat 
plataforma plataforma40.dat 
plataforma plataforma41.dat 
plataforma plataforma42.dat 
plataforma plataforma43.dat 
plataforma plataforma44.dat 
plataforma plataforma45.dat 
plataforma plataforma46.dat 
plataforma plataforma47.dat 
plataforma plataforma48.dat 
plataforma plataforma49.dat 
plataforma plataforma50.dat 
plataforma plataforma51.dat 
plataforma plataforma52.dat 
plataforma plataforma53.dat 
plataforma plataforma54.dat 
plataforma plataforma55.dat 
plataforma plataforma56.dat 
plataforma plataforma57.dat 
plataforma plataforma58.dat 
plataforma plataforma59.dat 
plataforma plataforma60.dat 
plataforma plataforma61.dat 
plataforma plataforma62.dat 
plataforma plataforma63.dat 
plataforma plataforma64.dat 
plataforma plataforma65.dat 
plataforma plataforma66.dat 
plataforma plataforma67.dat 
plataforma plataforma68.dat 
plataforma plataforma69.dat 
plataforma plataforma70.dat 
plataforma plataforma71.dat 
plataforma plataforma72.dat 
plataforma plataforma73.dat 
plataforma plataforma74.dat 
plataforma plataforma75.dat 
plataforma plataforma76.dat 
plataforma plataforma77.dat 
plataforma plataforma78.dat 
plataforma plataforma79.dat 
plataforma plataforma80.dat 
plataforma plataforma81.dat 
plataforma plataforma82.dat 
plataforma plataforma83.dat 
plataforma plataforma84.dat 
plataforma plataforma85.dat 
plataforma plataforma86.dat 
plataforma plataforma87.dat 
plataforma plataforma88.dat 
plataforma plataforma89.dat 
plataforma plataforma90.dat 
plataforma plataforma91.dat 
plataforma plataforma92.dat 
plataforma plataforma93.dat 
plataforma plataforma94.dat 
plataforma plataforma95.dat 
plataforma plataforma96.dat 
plataforma plataforma97.dat 
plataforma plataforma98.dat 
plataforma plataforma99.dat 
plataforma plataforma100.dat 
plataforma plataforma101.dat 
plataforma plataforma102.dat 
plataforma plataforma103.dat 
plataforma plataforma104.dat 
plataforma plataforma105.dat 
plataforma plataforma106.dat 
plataforma plataforma107.dat 
plataforma plataforma108.dat 
plataforma plataforma109.dat 
plataforma plataforma110.dat 
plataforma plataforma111.dat 
plataforma plataforma112.dat 
plataforma plataforma113.dat 
plataforma plataforma114.dat 
plataforma plataforma115.dat 
plataforma plataforma116.dat 
plataforma plataforma117.dat 
plataforma plataforma118.dat 
plataforma plataforma119.dat 
plataforma plataforma120.dat 
plataforma plataforma121.dat 
plataforma plataforma122.dat 
plataforma plataforma123.dat 
plataforma plataforma124.dat 
plataforma plataforma125.dat 
